Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
DERMATOLOGY,KNN,roc_auc,2.0,3.5,3.5,1.0
DERMATOLOGY,KNN,f1,1.0,3.0,4.0,2.0
DERMATOLOGY,KNN,geometric_mean_score,1.0,3.0,4.0,2.0
DERMATOLOGY,DT,roc_auc,2.0,3.0,4.0,1.0
DERMATOLOGY,DT,f1,2.0,3.0,4.0,1.0
DERMATOLOGY,DT,geometric_mean_score,2.0,3.0,4.0,1.0
DERMATOLOGY,GBC,roc_auc,3.0,3.0,3.0,1.0
DERMATOLOGY,GBC,f1,2.5,2.5,2.5,2.5
DERMATOLOGY,GBC,geometric_mean_score,2.5,2.5,2.5,2.5
MANDELON 2,LR,roc_auc,1.0,4.0,3.0,2.0
MANDELON 2,LR,f1,1.0,4.0,2.0,3.0
MANDELON 2,LR,geometric_mean_score,4.0,3.0,2.0,1.0
MANDELON 2,KNN,roc_auc,3.0,2.0,4.0,1.0
MANDELON 2,KNN,f1,4.0,2.0,3.0,1.0
MANDELON 2,KNN,geometric_mean_score,3.0,2.0,4.0,1.0
MANDELON 2,DT,roc_auc,4.0,3.0,1.0,2.0
MANDELON 2,DT,f1,3.0,4.0,1.0,2.0
MANDELON 2,DT,geometric_mean_score,4.0,3.0,1.0,2.0
MANDELON 2,GBC,roc_auc,4.0,3.0,2.0,1.0
MANDELON 2,GBC,f1,4.0,3.0,1.0,2.0
MANDELON 2,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
GLASS (2),LR,roc_auc,2.0,4.0,3.0,1.0
GLASS (2),LR,f1,4.0,2.0,3.0,1.0
GLASS (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
GLASS (2),KNN,roc_auc,4.0,3.0,2.0,1.0
GLASS (2),KNN,f1,4.0,2.0,3.0,1.0
GLASS (2),KNN,geometric_mean_score,4.0,2.0,3.0,1.0
GLASS (2),DT,roc_auc,4.0,3.0,2.0,1.0
GLASS (2),DT,f1,4.0,2.0,3.0,1.0
GLASS (2),DT,geometric_mean_score,4.0,3.0,2.0,1.0
GLASS (2),GBC,roc_auc,2.0,3.0,4.0,1.0
GLASS (2),GBC,f1,4.0,3.0,2.0,1.0
GLASS (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
NEW THYROID 1,LR,roc_auc,2.5,2.5,2.5,2.5
NEW THYROID 1,LR,f1,1.0,3.5,3.5,2.0
NEW THYROID 1,LR,geometric_mean_score,1.0,3.5,3.5,2.0
NEW THYROID 1,KNN,roc_auc,3.0,4.0,2.0,1.0
NEW THYROID 1,KNN,f1,4.0,2.0,3.0,1.0
NEW THYROID 1,KNN,geometric_mean_score,4.0,1.5,3.0,1.5
NEW THYROID 1,DT,roc_auc,3.0,4.0,2.0,1.0
NEW THYROID 1,DT,f1,4.0,3.0,2.0,1.0
NEW THYROID 1,DT,geometric_mean_score,3.0,4.0,2.0,1.0
NEW THYROID 1,GBC,roc_auc,3.0,2.0,4.0,1.0
NEW THYROID 1,GBC,f1,4.0,3.0,2.0,1.0
NEW THYROID 1,GBC,geometric_mean_score,3.0,4.0,2.0,1.0
YEAST 6,LR,roc_auc,4.0,2.0,3.0,1.0
YEAST 6,LR,f1,4.0,3.0,1.0,2.0
YEAST 6,LR,geometric_mean_score,4.0,3.0,1.0,2.0
YEAST 6,KNN,roc_auc,2.0,3.0,4.0,1.0
YEAST 6,KNN,f1,1.0,2.0,4.0,3.0
YEAST 6,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 6,DT,roc_auc,2.0,3.0,4.0,1.0
YEAST 6,DT,f1,1.0,3.0,4.0,2.0
YEAST 6,DT,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 6,GBC,roc_auc,2.0,3.0,4.0,1.0
YEAST 6,GBC,f1,4.0,2.0,3.0,1.0
YEAST 6,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
LIVER,LR,roc_auc,3.0,4.0,2.0,1.0
LIVER,LR,f1,4.0,3.0,2.0,1.0
LIVER,LR,geometric_mean_score,4.0,3.0,2.0,1.0
LIVER,KNN,roc_auc,3.0,4.0,2.0,1.0
LIVER,KNN,f1,4.0,3.0,1.0,2.0
LIVER,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
LIVER,DT,roc_auc,3.0,4.0,2.0,1.0
LIVER,DT,f1,2.0,4.0,3.0,1.0
LIVER,DT,geometric_mean_score,2.0,4.0,3.0,1.0
LIVER,GBC,roc_auc,3.0,4.0,2.0,1.0
LIVER,GBC,f1,3.0,4.0,2.0,1.0
LIVER,GBC,geometric_mean_score,3.0,4.0,2.0,1.0
IRIS,LR,roc_auc,2.5,2.5,2.5,2.5
IRIS,LR,f1,2.5,2.5,2.5,2.5
IRIS,LR,geometric_mean_score,2.5,2.5,2.5,2.5
IRIS,KNN,roc_auc,2.5,2.5,2.5,2.5
IRIS,KNN,f1,2.5,2.5,2.5,2.5
IRIS,KNN,geometric_mean_score,2.5,2.5,2.5,2.5
IRIS,DT,roc_auc,2.5,2.5,2.5,2.5
IRIS,DT,f1,2.5,2.5,2.5,2.5
IRIS,DT,geometric_mean_score,2.5,2.5,2.5,2.5
IRIS,GBC,roc_auc,2.5,2.5,2.5,2.5
IRIS,GBC,f1,2.5,2.5,2.5,2.5
IRIS,GBC,geometric_mean_score,2.5,2.5,2.5,2.5
NEW THYROID 2,LR,roc_auc,2.5,2.5,2.5,2.5
NEW THYROID 2,LR,f1,1.0,3.5,3.5,2.0
NEW THYROID 2,LR,geometric_mean_score,1.0,3.5,3.5,2.0
NEW THYROID 2,KNN,roc_auc,4.0,2.0,3.0,1.0
NEW THYROID 2,KNN,f1,4.0,1.5,3.0,1.5
NEW THYROID 2,KNN,geometric_mean_score,4.0,1.5,3.0,1.5
NEW THYROID 2,DT,roc_auc,4.0,3.0,2.0,1.0
NEW THYROID 2,DT,f1,4.0,3.0,2.0,1.0
NEW THYROID 2,DT,geometric_mean_score,4.0,3.0,2.0,1.0
NEW THYROID 2,GBC,roc_auc,4.0,2.0,3.0,1.0
NEW THYROID 2,GBC,f1,2.0,4.0,3.0,1.0
NEW THYROID 2,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 4,LR,roc_auc,3.0,4.0,1.0,2.0
YEAST 4,LR,f1,4.0,3.0,1.0,2.0
YEAST 4,LR,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 4,KNN,roc_auc,3.0,4.0,2.0,1.0
YEAST 4,KNN,f1,4.0,2.0,3.0,1.0
YEAST 4,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 4,DT,roc_auc,2.0,4.0,3.0,1.0
YEAST 4,DT,f1,2.0,3.0,4.0,1.0
YEAST 4,DT,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 4,GBC,roc_auc,2.0,4.0,3.0,1.0
YEAST 4,GBC,f1,2.0,3.0,4.0,1.0
YEAST 4,GBC,geometric_mean_score,4.0,2.0,3.0,1.0
VEHICLE (2),LR,roc_auc,2.0,4.0,3.0,1.0
VEHICLE (2),LR,f1,4.0,2.0,3.0,1.0
VEHICLE (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
VEHICLE (2),KNN,roc_auc,3.0,4.0,2.0,1.0
VEHICLE (2),KNN,f1,3.0,4.0,2.0,1.0
VEHICLE (2),KNN,geometric_mean_score,4.0,3.0,1.0,2.0
VEHICLE (2),DT,roc_auc,4.0,2.0,3.0,1.0
VEHICLE (2),DT,f1,3.0,2.0,4.0,1.0
VEHICLE (2),DT,geometric_mean_score,4.0,2.0,3.0,1.0
VEHICLE (2),GBC,roc_auc,4.0,2.0,3.0,1.0
VEHICLE (2),GBC,f1,3.0,2.0,4.0,1.0
VEHICLE (2),GBC,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 5,LR,roc_auc,1.0,4.0,3.0,2.0
YEAST 5,LR,f1,4.0,2.0,3.0,1.0
YEAST 5,LR,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 5,KNN,roc_auc,3.0,4.0,2.0,1.0
YEAST 5,KNN,f1,1.0,2.0,4.0,3.0
YEAST 5,KNN,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 5,DT,roc_auc,4.0,3.0,2.0,1.0
YEAST 5,DT,f1,4.0,3.0,2.0,1.0
YEAST 5,DT,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 5,GBC,roc_auc,4.0,2.0,3.0,1.0
YEAST 5,GBC,f1,4.0,3.0,2.0,1.0
YEAST 5,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
WINE (2),LR,roc_auc,4.0,3.0,2.0,1.0
WINE (2),LR,f1,2.0,3.0,4.0,1.0
WINE (2),LR,geometric_mean_score,3.0,2.0,4.0,1.0
WINE (2),KNN,roc_auc,3.0,4.0,2.0,1.0
WINE (2),KNN,f1,1.0,4.0,3.0,2.0
WINE (2),KNN,geometric_mean_score,2.0,4.0,3.0,1.0
WINE (2),DT,roc_auc,2.0,3.0,4.0,1.0
WINE (2),DT,f1,2.0,3.0,4.0,1.0
WINE (2),DT,geometric_mean_score,2.0,3.0,4.0,1.0
WINE (2),GBC,roc_auc,2.0,4.0,3.0,1.0
WINE (2),GBC,f1,2.0,4.0,3.0,1.0
WINE (2),GBC,geometric_mean_score,2.0,4.0,3.0,1.0
NEW THYROID 2 (2),LR,roc_auc,2.5,2.5,2.5,2.5
NEW THYROID 2 (2),LR,f1,3.0,1.5,4.0,1.5
NEW THYROID 2 (2),LR,geometric_mean_score,4.0,1.5,3.0,1.5
NEW THYROID 2 (2),KNN,roc_auc,4.0,3.0,1.0,2.0
NEW THYROID 2 (2),KNN,f1,4.0,3.0,2.0,1.0
NEW THYROID 2 (2),KNN,geometric_mean_score,4.0,3.0,1.0,2.0
NEW THYROID 2 (2),DT,roc_auc,2.0,3.5,3.5,1.0
NEW THYROID 2 (2),DT,f1,2.0,3.5,3.5,1.0
NEW THYROID 2 (2),DT,geometric_mean_score,2.0,3.5,3.5,1.0
NEW THYROID 2 (2),GBC,roc_auc,4.0,3.0,2.0,1.0
NEW THYROID 2 (2),GBC,f1,1.0,4.0,3.0,2.0
NEW THYROID 2 (2),GBC,geometric_mean_score,2.0,4.0,3.0,1.0
ECOLI,LR,roc_auc,3.0,4.0,2.0,1.0
ECOLI,LR,f1,4.0,3.0,2.0,1.0
ECOLI,LR,geometric_mean_score,4.0,3.0,2.0,1.0
ECOLI,KNN,roc_auc,1.0,3.0,4.0,2.0
ECOLI,KNN,f1,1.0,3.0,4.0,2.0
ECOLI,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
ECOLI,DT,roc_auc,4.0,3.0,2.0,1.0
ECOLI,DT,f1,4.0,3.0,2.0,1.0
ECOLI,DT,geometric_mean_score,4.0,2.0,3.0,1.0
ECOLI,GBC,roc_auc,3.0,4.0,2.0,1.0
ECOLI,GBC,f1,4.0,2.0,3.0,1.0
ECOLI,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
VOWEL (2),LR,roc_auc,4.0,2.0,3.0,1.0
VOWEL (2),LR,f1,1.0,4.0,3.0,2.0
VOWEL (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
VOWEL (2),KNN,roc_auc,4.0,3.0,2.0,1.0
VOWEL (2),KNN,f1,4.0,3.0,1.5,1.5
VOWEL (2),KNN,geometric_mean_score,4.0,3.0,1.5,1.5
VOWEL (2),DT,roc_auc,3.0,4.0,2.0,1.0
VOWEL (2),DT,f1,1.0,4.0,3.0,2.0
VOWEL (2),DT,geometric_mean_score,3.0,4.0,2.0,1.0
VOWEL (2),GBC,roc_auc,4.0,3.0,2.0,1.0
VOWEL (2),GBC,f1,3.0,4.0,2.0,1.0
VOWEL (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
PIMA (2),LR,roc_auc,4.0,2.0,3.0,1.0
PIMA (2),LR,f1,4.0,2.0,3.0,1.0
PIMA (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
PIMA (2),KNN,roc_auc,1.0,4.0,2.0,3.0
PIMA (2),KNN,f1,4.0,3.0,1.0,2.0
PIMA (2),KNN,geometric_mean_score,4.0,3.0,1.0,2.0
PIMA (2),DT,roc_auc,4.0,2.0,3.0,1.0
PIMA (2),DT,f1,4.0,3.0,2.0,1.0
PIMA (2),DT,geometric_mean_score,4.0,2.0,3.0,1.0
PIMA (2),GBC,roc_auc,2.0,3.0,4.0,1.0
PIMA (2),GBC,f1,4.0,3.0,2.0,1.0
PIMA (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 1 (2),LR,roc_auc,4.0,2.0,3.0,1.0
YEAST 1 (2),LR,f1,4.0,2.0,3.0,1.0
YEAST 1 (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 1 (2),KNN,roc_auc,3.0,4.0,2.0,1.0
YEAST 1 (2),KNN,f1,4.0,3.0,2.0,1.0
YEAST 1 (2),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 1 (2),DT,roc_auc,4.0,3.0,2.0,1.0
YEAST 1 (2),DT,f1,4.0,3.0,1.0,2.0
YEAST 1 (2),DT,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 1 (2),GBC,roc_auc,2.0,3.0,4.0,1.0
YEAST 1 (2),GBC,f1,4.0,3.0,2.0,1.0
YEAST 1 (2),GBC,geometric_mean_score,4.0,2.0,3.0,1.0
WINE,LR,roc_auc,2.0,4.0,3.0,1.0
WINE,LR,f1,4.0,2.0,3.0,1.0
WINE,LR,geometric_mean_score,4.0,2.0,3.0,1.0
WINE,KNN,roc_auc,4.0,1.0,2.0,3.0
WINE,KNN,f1,4.0,2.0,3.0,1.0
WINE,KNN,geometric_mean_score,4.0,2.0,3.0,1.0
WINE,DT,roc_auc,3.0,4.0,2.0,1.0
WINE,DT,f1,4.0,3.0,2.0,1.0
WINE,DT,geometric_mean_score,4.0,3.0,2.0,1.0
WINE,GBC,roc_auc,4.0,2.0,3.0,1.0
WINE,GBC,f1,2.0,4.0,3.0,1.0
WINE,GBC,geometric_mean_score,2.0,4.0,3.0,1.0
VOWEL (3),LR,roc_auc,4.0,2.0,3.0,1.0
VOWEL (3),LR,f1,1.0,4.0,3.0,2.0
VOWEL (3),LR,geometric_mean_score,4.0,2.0,3.0,1.0
VOWEL (3),KNN,roc_auc,4.0,3.0,1.0,2.0
VOWEL (3),KNN,f1,4.0,3.0,2.0,1.0
VOWEL (3),KNN,geometric_mean_score,4.0,3.0,1.0,2.0
VOWEL (3),DT,roc_auc,4.0,3.0,2.0,1.0
VOWEL (3),DT,f1,1.0,3.0,4.0,2.0
VOWEL (3),DT,geometric_mean_score,4.0,2.0,3.0,1.0
VOWEL (3),GBC,roc_auc,4.0,3.0,2.0,1.0
VOWEL (3),GBC,f1,2.0,4.0,3.0,1.0
VOWEL (3),GBC,geometric_mean_score,3.0,4.0,2.0,1.0
PIMA (3),LR,roc_auc,4.0,2.0,3.0,1.0
PIMA (3),LR,f1,4.0,2.0,3.0,1.0
PIMA (3),LR,geometric_mean_score,4.0,2.0,3.0,1.0
PIMA (3),KNN,roc_auc,3.0,4.0,2.0,1.0
PIMA (3),KNN,f1,4.0,2.0,3.0,1.0
PIMA (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
PIMA (3),DT,roc_auc,4.0,3.0,2.0,1.0
PIMA (3),DT,f1,4.0,3.0,2.0,1.0
PIMA (3),DT,geometric_mean_score,4.0,3.0,2.0,1.0
PIMA (3),GBC,roc_auc,4.0,3.0,2.0,1.0
PIMA (3),GBC,f1,4.0,3.0,2.0,1.0
PIMA (3),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 1 (3),LR,roc_auc,4.0,2.0,3.0,1.0
YEAST 1 (3),LR,f1,4.0,2.0,3.0,1.0
YEAST 1 (3),LR,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 1 (3),KNN,roc_auc,4.0,3.0,2.0,1.0
YEAST 1 (3),KNN,f1,4.0,3.0,2.0,1.0
YEAST 1 (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 1 (3),DT,roc_auc,4.0,3.0,2.0,1.0
YEAST 1 (3),DT,f1,4.0,3.0,1.0,2.0
YEAST 1 (3),DT,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 1 (3),GBC,roc_auc,2.0,3.0,4.0,1.0
YEAST 1 (3),GBC,f1,4.0,3.0,2.0,1.0
YEAST 1 (3),GBC,geometric_mean_score,4.0,1.0,3.0,2.0
WINE (3),LR,roc_auc,2.0,4.0,3.0,1.0
WINE (3),LR,f1,2.0,3.0,4.0,1.0
WINE (3),LR,geometric_mean_score,4.0,2.0,3.0,1.0
WINE (3),KNN,roc_auc,2.0,4.0,3.0,1.0
WINE (3),KNN,f1,4.0,2.0,3.0,1.0
WINE (3),KNN,geometric_mean_score,4.0,2.0,3.0,1.0
WINE (3),DT,roc_auc,2.0,4.0,3.0,1.0
WINE (3),DT,f1,2.0,4.0,3.0,1.0
WINE (3),DT,geometric_mean_score,2.0,4.0,3.0,1.0
WINE (3),GBC,roc_auc,2.0,4.0,3.0,1.0
WINE (3),GBC,f1,2.0,4.0,3.0,1.0
WINE (3),GBC,geometric_mean_score,2.0,4.0,3.0,1.0
YEAST 1,LR,roc_auc,4.0,2.0,3.0,1.0
YEAST 1,LR,f1,4.0,2.0,3.0,1.0
YEAST 1,LR,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 1,KNN,roc_auc,2.0,4.0,3.0,1.0
YEAST 1,KNN,f1,4.0,3.0,2.0,1.0
YEAST 1,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 1,DT,roc_auc,2.0,4.0,3.0,1.0
YEAST 1,DT,f1,4.0,3.0,2.0,1.0
YEAST 1,DT,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 1,GBC,roc_auc,2.0,1.0,4.0,3.0
YEAST 1,GBC,f1,4.0,2.0,3.0,1.0
YEAST 1,GBC,geometric_mean_score,4.0,2.0,3.0,1.0
VEHICLE (3),LR,roc_auc,2.0,4.0,3.0,1.0
VEHICLE (3),LR,f1,3.0,4.0,2.0,1.0
VEHICLE (3),LR,geometric_mean_score,4.0,2.0,3.0,1.0
VEHICLE (3),KNN,roc_auc,4.0,3.0,2.0,1.0
VEHICLE (3),KNN,f1,4.0,2.0,3.0,1.0
VEHICLE (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
VEHICLE (3),DT,roc_auc,4.0,3.0,2.0,1.0
VEHICLE (3),DT,f1,4.0,3.0,1.0,2.0
VEHICLE (3),DT,geometric_mean_score,4.0,2.0,3.0,1.0
VEHICLE (3),GBC,roc_auc,4.0,3.0,2.0,1.0
VEHICLE (3),GBC,f1,4.0,3.0,2.0,1.0
VEHICLE (3),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
PIMA,LR,roc_auc,4.0,1.0,3.0,2.0
PIMA,LR,f1,4.0,2.0,3.0,1.0
PIMA,LR,geometric_mean_score,4.0,2.0,3.0,1.0
PIMA,KNN,roc_auc,2.0,4.0,3.0,1.0
PIMA,KNN,f1,4.0,3.0,2.0,1.0
PIMA,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
PIMA,DT,roc_auc,3.0,2.0,4.0,1.0
PIMA,DT,f1,4.0,2.0,3.0,1.0
PIMA,DT,geometric_mean_score,4.0,2.0,3.0,1.0
PIMA,GBC,roc_auc,2.0,3.0,4.0,1.0
PIMA,GBC,f1,4.0,3.0,1.0,2.0
PIMA,GBC,geometric_mean_score,4.0,3.0,1.0,2.0
PAGE BLOCKS 1 3,LR,roc_auc,2.0,3.0,4.0,1.0
PAGE BLOCKS 1 3,LR,f1,2.0,4.0,3.0,1.0
PAGE BLOCKS 1 3,LR,geometric_mean_score,4.0,3.0,2.0,1.0
PAGE BLOCKS 1 3,KNN,roc_auc,4.0,3.0,2.0,1.0
PAGE BLOCKS 1 3,KNN,f1,4.0,2.0,3.0,1.0
PAGE BLOCKS 1 3,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
PAGE BLOCKS 1 3,DT,roc_auc,4.0,3.0,1.5,1.5
PAGE BLOCKS 1 3,DT,f1,4.0,3.0,1.5,1.5
PAGE BLOCKS 1 3,DT,geometric_mean_score,4.0,3.0,1.5,1.5
PAGE BLOCKS 1 3,GBC,roc_auc,2.0,3.5,3.5,1.0
PAGE BLOCKS 1 3,GBC,f1,4.0,2.5,2.5,1.0
PAGE BLOCKS 1 3,GBC,geometric_mean_score,4.0,2.5,2.5,1.0
YEAST 3,LR,roc_auc,2.0,3.0,4.0,1.0
YEAST 3,LR,f1,4.0,3.0,1.0,2.0
YEAST 3,LR,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 3,KNN,roc_auc,3.0,4.0,2.0,1.0
YEAST 3,KNN,f1,2.0,4.0,3.0,1.0
YEAST 3,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 3,DT,roc_auc,3.0,4.0,2.0,1.0
YEAST 3,DT,f1,2.0,4.0,3.0,1.0
YEAST 3,DT,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 3,GBC,roc_auc,3.0,4.0,2.0,1.0
YEAST 3,GBC,f1,3.0,4.0,2.0,1.0
YEAST 3,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
GLASS (3),LR,roc_auc,4.0,3.0,2.0,1.0
GLASS (3),LR,f1,4.0,3.0,2.0,1.0
GLASS (3),LR,geometric_mean_score,4.0,3.0,2.0,1.0
GLASS (3),KNN,roc_auc,3.0,4.0,2.0,1.0
GLASS (3),KNN,f1,4.0,2.0,3.0,1.0
GLASS (3),KNN,geometric_mean_score,4.0,2.0,3.0,1.0
GLASS (3),DT,roc_auc,4.0,3.0,2.0,1.0
GLASS (3),DT,f1,4.0,3.0,2.0,1.0
GLASS (3),DT,geometric_mean_score,4.0,3.0,1.0,2.0
GLASS (3),GBC,roc_auc,4.0,3.0,2.0,1.0
GLASS (3),GBC,f1,4.0,3.0,2.0,1.0
GLASS (3),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
HEART (2),LR,roc_auc,3.0,2.0,4.0,1.0
HEART (2),LR,f1,4.0,2.0,3.0,1.0
HEART (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
HEART (2),KNN,roc_auc,2.0,4.0,3.0,1.0
HEART (2),KNN,f1,4.0,3.0,2.0,1.0
HEART (2),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
HEART (2),DT,roc_auc,4.0,1.0,3.0,2.0
HEART (2),DT,f1,4.0,2.0,1.0,3.0
HEART (2),DT,geometric_mean_score,4.0,1.0,2.0,3.0
HEART (2),GBC,roc_auc,3.0,4.0,1.0,2.0
HEART (2),GBC,f1,4.0,3.0,2.0,1.0
HEART (2),GBC,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 3 (3),LR,roc_auc,4.0,3.0,2.0,1.0
YEAST 3 (3),LR,f1,4.0,3.0,1.0,2.0
YEAST 3 (3),LR,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 3 (3),KNN,roc_auc,3.0,4.0,2.0,1.0
YEAST 3 (3),KNN,f1,4.0,1.0,3.0,2.0
YEAST 3 (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 3 (3),DT,roc_auc,3.0,2.0,4.0,1.0
YEAST 3 (3),DT,f1,4.0,2.0,3.0,1.0
YEAST 3 (3),DT,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 3 (3),GBC,roc_auc,3.0,4.0,2.0,1.0
YEAST 3 (3),GBC,f1,4.0,2.0,3.0,1.0
YEAST 3 (3),GBC,geometric_mean_score,4.0,2.0,3.0,1.0
NEW THYROID 1 (2),LR,roc_auc,2.5,2.5,2.5,2.5
NEW THYROID 1 (2),LR,f1,2.0,4.0,3.0,1.0
NEW THYROID 1 (2),LR,geometric_mean_score,4.0,3.0,2.0,1.0
NEW THYROID 1 (2),KNN,roc_auc,3.5,3.5,1.0,2.0
NEW THYROID 1 (2),KNN,f1,3.0,4.0,1.0,2.0
NEW THYROID 1 (2),KNN,geometric_mean_score,4.0,3.0,1.0,2.0
NEW THYROID 1 (2),DT,roc_auc,2.0,4.0,3.0,1.0
NEW THYROID 1 (2),DT,f1,1.0,4.0,3.0,2.0
NEW THYROID 1 (2),DT,geometric_mean_score,2.0,4.0,3.0,1.0
NEW THYROID 1 (2),GBC,roc_auc,4.0,2.0,3.0,1.0
NEW THYROID 1 (2),GBC,f1,1.0,4.0,3.0,2.0
NEW THYROID 1 (2),GBC,geometric_mean_score,2.0,4.0,3.0,1.0
LIBRAS,LR,roc_auc,3.0,4.0,2.0,1.0
LIBRAS,LR,f1,4.0,3.0,1.0,2.0
LIBRAS,LR,geometric_mean_score,4.0,3.0,2.0,1.0
LIBRAS,KNN,roc_auc,4.0,3.0,2.0,1.0
LIBRAS,KNN,f1,4.0,2.0,3.0,1.0
LIBRAS,KNN,geometric_mean_score,4.0,3.0,1.0,2.0
LIBRAS,DT,roc_auc,4.0,3.0,2.0,1.0
LIBRAS,DT,f1,4.0,3.0,2.0,1.0
LIBRAS,DT,geometric_mean_score,4.0,3.0,2.0,1.0
LIBRAS,GBC,roc_auc,3.0,4.0,2.0,1.0
LIBRAS,GBC,f1,4.0,3.0,2.0,1.0
LIBRAS,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
BREAST TISSUE,LR,roc_auc,4.0,3.0,2.0,1.0
BREAST TISSUE,LR,f1,4.0,3.0,2.0,1.0
BREAST TISSUE,LR,geometric_mean_score,4.0,3.0,2.0,1.0
BREAST TISSUE,KNN,roc_auc,2.0,3.0,4.0,1.0
BREAST TISSUE,KNN,f1,2.0,3.0,4.0,1.0
BREAST TISSUE,KNN,geometric_mean_score,2.0,4.0,3.0,1.0
BREAST TISSUE,DT,roc_auc,2.0,4.0,3.0,1.0
BREAST TISSUE,DT,f1,2.0,4.0,3.0,1.0
BREAST TISSUE,DT,geometric_mean_score,3.0,4.0,2.0,1.0
BREAST TISSUE,GBC,roc_auc,4.0,2.0,3.0,1.0
BREAST TISSUE,GBC,f1,4.0,3.0,2.0,1.0
BREAST TISSUE,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 3 (2),LR,roc_auc,4.0,3.0,2.0,1.0
YEAST 3 (2),LR,f1,4.0,3.0,2.0,1.0
YEAST 3 (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 3 (2),KNN,roc_auc,3.0,4.0,2.0,1.0
YEAST 3 (2),KNN,f1,4.0,2.0,3.0,1.0
YEAST 3 (2),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 3 (2),DT,roc_auc,3.0,2.0,4.0,1.0
YEAST 3 (2),DT,f1,2.0,4.0,3.0,1.0
YEAST 3 (2),DT,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 3 (2),GBC,roc_auc,2.0,4.0,3.0,1.0
YEAST 3 (2),GBC,f1,3.0,4.0,2.0,1.0
YEAST 3 (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
VOWEL,LR,roc_auc,4.0,2.0,3.0,1.0
VOWEL,LR,f1,1.0,3.0,4.0,2.0
VOWEL,LR,geometric_mean_score,4.0,2.0,3.0,1.0
VOWEL,KNN,roc_auc,2.5,2.5,2.5,2.5
VOWEL,KNN,f1,4.0,2.0,2.0,2.0
VOWEL,KNN,geometric_mean_score,4.0,2.0,2.0,2.0
VOWEL,DT,roc_auc,2.0,3.0,4.0,1.0
VOWEL,DT,f1,2.0,3.0,4.0,1.0
VOWEL,DT,geometric_mean_score,4.0,3.0,2.0,1.0
VOWEL,GBC,roc_auc,4.0,3.0,2.0,1.0
